src_entity_id,src_entity_type,tar_entity_id,tar_entity_type,relation_label_id,relation_type,relation_label_repr,event_id,event_trigger,event_type,event_time,tar_entity_match_text,tar_entity_match_pattern_type
1085678424,PullRequestReviewComment,1267968827,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26630899770,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-24 17:45:09,,
1086806387,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26654200560,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 15:42:36,,
1086806387,PullRequestReviewComment,1269602706,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26654200560,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 15:42:36,,
1086959397,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26657108190,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 17:42:43,,
1086959397,PullRequestReviewComment,1269832176,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26657108190,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 17:42:43,,
1087030510,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26658174754,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 18:34:14,,
1087030510,PullRequestReviewComment,1269905540,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26658174754,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 18:34:14,,
1087117927,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26659925038,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 20:07:09,,
1087117927,PullRequestReviewComment,1270025295,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26659925038,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-25 20:07:09,,
1087887954,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26675491520,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 13:58:11,,
1087887954,PullRequestReviewComment,1271098678,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26675491520,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 13:58:11,,
1087920343,PullRequestReviewComment,4357155,Actor,27,EventAction,PullRequestReviewComment_CreatedBy_Actor,26676205885,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 14:26:51,,
1087920343,PullRequestReviewComment,1271153770,PullRequestReview,28,EventAction,PullRequestReviewComment_CommentedOnReview_PullRequestReview,26676205885,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 14:26:51,,
1087920343,PullRequestReviewComment,299848,Actor,29,Reference,PullRequestReviewComment_unknown_UnknownFromBodyRef,26676205885,PullRequestReviewCommentEvent::action=created,PullRequestReviewCommentEvent,2023-01-26 14:26:51,@jpountz,Actor
